image,config,psnr,ssim
01_outdoor_hazy.jpg,coarse,11.600573215667023,0.4969151954840658
01_outdoor_hazy.jpg,+sky,11.600598999224456,0.49691261237225864
01_outdoor_hazy.jpg,+refinement,11.689521012336904,0.4980607557266344
01_outdoor_hazy.jpg,full,11.69015461206768,0.49820931565837023
02_outdoor_hazy.jpg,coarse,11.51270806743661,0.5468240366503493
02_outdoor_hazy.jpg,+sky,11.51270806743661,0.5468240366503493
02_outdoor_hazy.jpg,+refinement,11.801934707412302,0.5644570067991393
02_outdoor_hazy.jpg,full,11.801934707412302,0.5644570067991393
03_outdoor_hazy.JPG,coarse,16.56927867265501,0.6062935989061141
03_outdoor_hazy.JPG,+sky,16.56927867265501,0.6062935989061141
03_outdoor_hazy.JPG,+refinement,16.947761289921665,0.6628862691341407
03_outdoor_hazy.JPG,full,16.947761289921665,0.6628862691341407
04_outdoor_hazy.jpg,coarse,12.105429593452406,0.41299588377337293
04_outdoor_hazy.jpg,+sky,12.105429593452406,0.41299588377337293
04_outdoor_hazy.jpg,+refinement,12.231348167365326,0.45460660362615446
04_outdoor_hazy.jpg,full,12.231348167365326,0.45460660362615446
05_outdoor_hazy.jpg,coarse,16.036977573089565,0.4518821922889942
05_outdoor_hazy.jpg,+sky,16.036977573089565,0.4518821922889942
05_outdoor_hazy.jpg,+refinement,16.267263498529346,0.48444675519199226
05_outdoor_hazy.jpg,full,16.267263498529346,0.48444675519199226
06_outdoor_hazy.jpg,coarse,17.741060279084813,0.5530808754936772
06_outdoor_hazy.jpg,+sky,17.741060279084813,0.5530808754936772
06_outdoor_hazy.jpg,+refinement,18.065617258994024,0.5830421883811755
06_outdoor_hazy.jpg,full,18.065617258994024,0.5830421883811755
07_outdoor_hazy.jpg,coarse,17.62405094593975,0.6004710102214399
07_outdoor_hazy.jpg,+sky,17.62405094593975,0.6004710102214399
07_outdoor_hazy.jpg,+refinement,18.065285210296388,0.6569902985379404
07_outdoor_hazy.jpg,full,18.065285210296388,0.6569902985379404
08_outdoor_hazy.jpg,coarse,14.894838906614073,0.429407634496389
08_outdoor_hazy.jpg,+sky,14.894838906614073,0.429407634496389
08_outdoor_hazy.jpg,+refinement,15.084363124141436,0.4214542017587988
08_outdoor_hazy.jpg,full,15.084363124141436,0.4214542017587988
09_outdoor_hazy.jpg,coarse,14.028229726537267,0.4036849256895931
09_outdoor_hazy.jpg,+sky,14.028229726537267,0.4036849256895931
09_outdoor_hazy.jpg,+refinement,14.14951698771235,0.407435208133989
09_outdoor_hazy.jpg,full,14.14951698771235,0.407435208133989
10_outdoor_hazy.jpg,coarse,13.60220729931523,0.5783863885696943
